customer_id,customer_name,country,segment
269,Customer 269,India,Enterprise
270,Customer 270,India,Consumer
271,Customer 271,Canada,Consumer
272,Customer 272,Canada,Small Business
273,Customer 273,Canada,Consumer
274,Customer 274,Australia,Small Business
275,Customer 275,USA,Enterprise
276,Customer 276,USA,Enterprise
277,Customer 277,Germany,Consumer
278,Customer 278,UK,Enterprise
279,Customer 279,Germany,Consumer
280,Customer 280,Germany,Consumer
281,Customer 281,Australia,Consumer
282,Customer 282,India,Enterprise
283,Customer 283,India,Consumer
284,Customer 284,India,Consumer
285,Customer 285,USA,Small Business
286,Customer 286,India,Consumer
287,Customer 287,USA,Consumer
288,Customer 288,USA,Consumer
289,Customer 289,India,Consumer
290,Customer 290,USA,Consumer
291,Customer 291,India,Consumer
292,Customer 292,India,Small Business
293,Customer 293,Canada,Consumer
294,Customer 294,India,Consumer
295,Customer 295,India,Enterprise
296,Customer 296,USA,Consumer
297,Customer 297,Germany,Small Business
298,Customer 298,India,Consumer
299,Customer 299,UK,Consumer
300,Customer 300,India,Consumer
